"id","summary_title","coords","lat","lng","URI","apiURI"
"term-116381","Ashwell","52.0402,-0.155","52.0402","-0.155","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116381","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116381"
"term-116382","Baldock","51.989,-0.1882","51.989","-0.1882","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116382","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116382"
"term-116383","Barkway","52.003,0.0161","52.003","0.0161","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116383","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116383"
"term-116384","Bovingdon","51.7234,-0.5327","51.7234","-0.5327","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116384","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116384"
"term-116385","Bishops Stortford","51.8689,0.1626","51.8689","0.1626","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116385","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116385"
"term-116386","Brent Pelham","51.9547,0.0881","51.9547","0.0881","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116386","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116386"
"term-116387","Buntingford","51.9464,-0.0087","51.9464","-0.0087","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116387","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116387"
"term-116388","Cheshunt","51.7021,-0.0336","51.7021","-0.0336","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116388","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116388"
"term-116389","Furneaux Pelham","51.9303,0.0819","51.9303","0.0819","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116389","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116389"
"term-116390","Hitchin","51.9464,-0.2792","51.9464","-0.2792","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116390","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116390"
"term-116391","Hunsdon","51.7964,0.0527","51.7964","0.0527","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116391","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116391"
"term-116392","Little Munden","51.8801,-0.0597","51.8801","-0.0597","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116392","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116392"
"term-116393","Pirton","51.9724,-0.3294","51.9724","-0.3294","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116393","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116393"
"term-116394","Stanstead Abbots","51.787,0.0234","51.787","0.0234","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116394","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116394"
"term-116395","Stevenage","51.9035,-0.2013","51.9035","-0.2013","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116395","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116395"
"term-116396","Stocking Pelham","51.9406,0.1047","51.9406","0.1047","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116396","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116396"
