"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-200002905","Some Groups of English Redware of the Mid-Eighteenth Century, Part I","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002905","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002905"
"publication-200002906","Ballads and Hunting Mugs","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002906","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002906"
"publication-200002909","Longton Potters 1700-1865","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002909","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002909"
"publication-200002910","Collections of Dutch decorated English Creamware","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002910","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002910"
"publication-200002911","Dutch Decorated English Creamware: Fact and Fiction","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002911","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002911"
"publication-200002912","Dutch Decorated English Creamware: Chronology and Style","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002912","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002912"
"publication-200002913","Dutch Decorated English Creamware","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002913","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002913"
"publication-200002914","Later London delftware 1780-1810","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002914","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002914"
"publication-200002915","Victorian pottery religious figures and who bought them","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002915","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002915"
"publication-200002916","The Ceramic Designs of A.W.N. Pugin","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002916","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002916"
"publication-200002917","Celebratory Ceramics: A Royal History","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002917","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002917"
"publication-200002918","W(***) - Another Pointer to the Whitehead Connection","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002918","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002918"
"publication-200002919","Meissen and England - the Baroque","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002919","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002919"
