"id","summary_title","venue","venueURI","venueAPIURI","venueID","earliestDate","latestDate","URI","apiURI"
"exhibition-668","Summer Exhibition","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1880","1880","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-668","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-668"
"exhibition-669","Exhibition of Fine Arts","Bradford","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-108830","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-108830","term-108830","1904","1904","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-669","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-669"
"exhibition-67","Old Masters (1945)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1945","1945","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-67","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-67"
"exhibition-671","Pictures and drawings by William Holman Hunt","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-671","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-671"
"exhibition-672","(On loan to the Corporation Museum, Bridport, Dorset, 1932-34)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-672","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-672"
"exhibition-673","(On loan to the City Museum and Art Gallery, Birmingham, 1935-59)","Birmingham","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107687","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107687","term-107687","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-673","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-673"
"exhibition-674","English Portraits","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-674","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-674"
"exhibition-675","The Discovery of the Lake District","Cumbria","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106993","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106993","term-106993","1982","1982","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-675","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-675"
"exhibition-676","John William Inchbold","Leeds (Yorks.)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107567","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107567","term-107567","1993","1993","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-676","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-676"
"exhibition-677","XIX Biennale Internazionale d' Arte","Venice","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106518","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106518","term-106518","1934","1934","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-677","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-677"
