"id","summary_title","description","created","modified","URI","apiURI","parentTitle","parentURI","parentAPIURI","relatedTitle","relatedURI","relatedAPIURI"
"term-139312","1106-1180s","NULL","1631750400000","1631790357000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139312","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139312","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139313","1250s-1270s","NULL","1631750400000","1631790385000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139313","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139313","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139314","c. 12th century","NULL","1631750400000","1631790453000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139314","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139314","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139315","10th-13th century","NULL","1631750400000","1631790481000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139315","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139315","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139316","c. 11th century","NULL","1631750400000","1631790507000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139316","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139316","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139317","c. 1990s","NULL","1631750400000","1631808747000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139317","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139317","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139318","late 14th-early 15th century","NULL","1631750400000","1631808807000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139318","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139318","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139319","early 8th century","NULL","1631750400000","1631808930000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139319","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139319","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139455","19th century?","NULL","1632787200000","1632821363000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139455","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139455","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139456","12th century?","NULL","1632787200000","1632821363000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139456","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139456","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139460","c. 1930s","NULL","1632787200000","1632825796000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139460","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139460","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139461","1971-1990s","NULL","1632787200000","1632825796000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139461","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139461","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139464","1980s-1990s","NULL","1632787200000","1632825799000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139464","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139464","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139465","early 1990s","NULL","1632787200000","1632825805000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139465","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139465","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139543","13th-17th century","NULL","1632873600000","1632916391000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139543","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139543","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139544","15th century?","NULL","1632873600000","1632916391000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139544","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139544","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139545","17th century?","NULL","1632873600000","1632916391000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139545","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139545","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139546","early 11th century","NULL","1632873600000","1632916391000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139546","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139546","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139551","1920s-1930s","NULL","1632873600000","1632927980000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139551","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139551","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140031","late 7th-mid 8th century","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140031","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140031","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140032","c. 3rd century BC","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140032","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140032","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140033","c. 2nd-1st century BC","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140033","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140033","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140034","c. 2nd century BC","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140034","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140034","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140035","c. 3rd-2nd century BC","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140035","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140035","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140036","c. late 2nd-1st century BC","NULL","1633305600000","1633358243000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140036","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140036","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140053","1990s?","NULL","1.633392e+12","1633432640000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140053","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140053","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140056","14th-15th century","NULL","1.633392e+12","1633447841000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140056","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140056","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140202","late 9th-early 10th century","NULL","1633564800000","1633598273000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140202","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140202","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140203","mid 7th century","NULL","1633564800000","1633598274000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140203","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140203","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140216","early/mid 1070s","NULL","1633564800000","1633608056000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140216","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140216","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140217","c. 1450s","NULL","1633564800000","1633608060000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140217","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140217","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140218","1290s","NULL","1633564800000","1633608061000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140218","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140218","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140219","1280s","NULL","1633564800000","1633608068000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140219","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140219","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140220","1250s-1260s","NULL","1633564800000","1633608076000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140220","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140220","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140280","4th-1st century BC","NULL","1633564800000","1633623951000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140280","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140280","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140302","c. 1830s-1858","NULL","1633564800000","1633629569000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140302","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140302","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140331","c. 4th century BC","NULL","1633651200000","1633689775000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140331","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140331","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140336","late 19th century?","NULL","1633910400000","1633943846000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140336","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140336","NULL","NULL","NULL","NULL","NULL","NULL"
